,word,word_score,listing_occurences,word_occurences,comment_occurences
0,austin,98.04406919275124,156,2428,2002
1,homemade,97.57642357642358,402,1001,962
2,nashville,97.56070471083876,115,2611,2164
3,beverages,97.5527950310559,233,322,322
4,prosecco,97.5495867768595,115,242,241
5,magazine,97.53174603174604,133,504,488
6,goodies,97.52920353982302,381,565,564
7,breweries,97.44094488188976,183,381,375
8,ultimate,97.43971631205673,136,141,140
9,baked,97.41919191919192,223,396,395
10,stains,88.83720930232558,279,344,316
11,lenzuola,88.79861111111111,123,144,132
12,olor,88.53459119496856,131,159,149
13,mold,88.2107969151671,284,389,339
14,smelly,88.15757575757576,147,165,159
15,dirty,88.00415129151291,1303,2168,1788
16,unclean,87.82758620689656,105,116,110
17,worst,87.31292517006803,381,441,409
18,disgusting,86.92857142857143,120,140,129
19,filthy,86.62111801242236,136,161,147
