,percentage,time_spent,relevant_listings,df
0-dot-25,0.25,6.73,2529,"         word  word_score  listing_occurences  word_occurences  \
0       lemon   99.000000                  15               59   
1   streetcar   98.481481                  13               54   
2   champagne   98.375000                  23               72   
3        mark   98.357513                  25              386   
4   encourage   98.333333                  16               18   
5       baked   98.256410                  22               39   
6   nashville   98.198511                  14              403   
7    magazine   98.195122                  16               41   
8     creamer   98.117647                  14               17   
9      cheery   98.071429                  13               14   
10    peuvent   87.750000                  16               16   
11      bsico   87.571429                  13               14   
12  \nhowever   87.529412                  17               17   
13     bruits   87.523810                  19               21   
14     smelly   87.357143                  13               14   
15     shabby   87.333333                  14               15   
16   horrible   87.300000                  30               40   
17   revanche   86.470588                  17               17   
18       mold   86.129032                  27               31   
19        ore   85.950000                  16               20   

    comment_occurences  
0                   58  
1                   52  
2                   72  
3                  308  
4                   18  
5                   39  
6                  308  
7                   40  
8                   17  
9                   14  
10                  16  
11                  14  
12                  17  
13                  20  
14                  13  
15                  15  
16                  33  
17                  17  
18                  29  
19                  16  "
0-dot-5,0.5,12.36,5040,"              word  word_score  listing_occurences  word_occurences  \
0             coop   99.143251                  41              363   
1          chicken   98.941860                  38              172   
2           austin   98.599174                  35              726   
3   thoughtfulness   98.357143                  52               56   
4        nashville   98.291429                  30              525   
5         wildlife   98.125000                  28               88   
6         heavenly   98.119048                  40               42   
7         lovingly   98.037037                  26               27   
8         portland   97.941126                  42             1155   
9          goodies   97.890625                  82              128   
10           holes   87.810811                  29               37   
11        compliqu   87.656250                  31               32   
12         incmodo   87.633333                  28               30   
13         refused   87.600000                  29               40   
14           dirty   87.505855                 265              427   
15       confirmed   87.500000                  32               34   
16     electricity   86.984127                  46               63   
17      disgusting   84.866667                  28               30   
18     cockroaches   84.500000                  31               38   
19          filthy   82.575758                  28               33   

    comment_occurences  
0                  263  
1                  151  
2                  603  
3                   56  
4                  439  
5                   86  
6                   42  
7                   27  
8                  973  
9                  128  
10                  35  
11                  31  
12                  30  
13                  31  
14                 360  
15                  33  
16                  53  
17                  29  
18                  34  
19                  29  "
1-dot-0,1.0,23.3,10143,"           word  word_score  listing_occurences  word_occurences  \
0      magazine   98.477273                  53               88   
1      chickens   98.436364                  58              220   
2      bungalow   98.042232                  95              663   
3        austin   98.004068                  85             1229   
4         chris   97.908807                  77             1283   
5         baked   97.812500                 114              240   
6           pup   97.796296                  77              108   
7      wildlife   97.762295                  52              122   
8          eggs   97.692708                 187              576   
9         sandy   97.680516                  78              698   
10       refund   88.390845                 211              284   
11       filthy   88.329268                  74               82   
12         mold   88.037433                 140              187   
13        viter   88.032787                  58               61   
14  cockroaches   88.000000                  62               83   
15      unclean   87.932203                  54               59   
16        worst   87.870968                 207              248   
17       cancel   87.666667                 119              147   
18   disgusting   87.323944                  62               71   
19        sucio   86.064935                  61               77   

    comment_occurences  
0                   83  
1                  216  
2                  523  
3                 1005  
4                  913  
5                  239  
6                  107  
7                  121  
8                  573  
9                  528  
10                 229  
11                  76  
12                 159  
13                  58  
14                  71  
15                  57  
16                 222  
17                 122  
18                  67  
19                  72  "
2-dot-0,2.0,47.69,20575,"          word  word_score  listing_occurences  word_occurences  \
0       austin   98.044069                 156             2428   
1     homemade   97.576424                 402             1001   
2    nashville   97.560705                 115             2611   
3    beverages   97.552795                 233              322   
4     prosecco   97.549587                 115              242   
5     magazine   97.531746                 133              504   
6      goodies   97.529204                 381              565   
7    breweries   97.440945                 183              381   
8     ultimate   97.439716                 136              141   
9        baked   97.419192                 223              396   
10      stains   88.837209                 279              344   
11    lenzuola   88.798611                 123              144   
12        olor   88.534591                 131              159   
13        mold   88.210797                 284              389   
14      smelly   88.157576                 147              165   
15       dirty   88.004151                1303             2168   
16     unclean   87.827586                 105              116   
17       worst   87.312925                 381              441   
18  disgusting   86.928571                 120              140   
19      filthy   86.621118                 136              161   

    comment_occurences  
0                 2002  
1                  962  
2                 2164  
3                  322  
4                  241  
5                  488  
6                  564  
7                  375  
8                  140  
9                  395  
10                 316  
11                 132  
12                 149  
13                 339  
14                 159  
15                1788  
16                 110  
17                 409  
18                 129  
19                 147  "
4-dot-0,4.0,103.18,40919,"              word  word_score  listing_occurences  word_occurences  \
0        nashville   97.809988                 243             5947   
1          granola   97.660952                 221              525   
2   thoughtfulness   97.559809                 388              418   
3     meticulously   97.537367                 258              281   
4        breweries   97.481481                 349              783   
5         hideaway   97.480769                 394              780   
6           treats   97.454837                1270             2181   
7          goodies   97.420701                 774             1198   
8         magazine   97.416559                 285              773   
9            baked   97.379893                 522             1124   
10          stains   88.092857                 552              700   
11           dirty   87.959001                2612             4366   
12          smelly   87.929178                 320              353   
13            olor   87.852273                 290              352   
14           odeur   87.798507                 223              268   
15     cockroaches   87.661538                 242              325   
16           worst   87.434267                 807              928   
17           sucio   86.902622                 230              267   
18      disgusting   86.807309                 260              301   
19          filthy   86.599462                 307              372   

    comment_occurences  
0                 4838  
1                  516  
2                  416  
3                  280  
4                  771  
5                  740  
6                 2163  
7                 1197  
8                  759  
9                 1117  
10                 628  
11                3615  
12                 338  
13                 329  
14                 261  
15                 276  
16                 868  
17                 249  
18                 276  
19                 339  "
8-dot-0,8.0,118.76,81756,"              word  word_score  listing_occurences  word_occurences  \
0   thoughtfulness   97.599269                 754              821   
1     meticulously   97.591760                 501              534   
2        nashville   97.500406                 448            11087   
3          goodies   97.457605                1505             2288   
4         wildlife   97.447930                 447              797   
5         homemade   97.413563                1635             3598   
6          muffins   97.402421                 537             1322   
7            baked   97.337060                 947             1789   
8       immaculate   97.334266                5187             7509   
9        breweries   97.332452                 666             1513   
10          smelly   88.553968                 579              630   
11            olor   88.540541                 538              666   
12     cockroaches   88.537582                 453              612   
13            mold   88.252192                1080             1483   
14           dirty   87.785888                5051             8234   
15         unclean   87.321121                 422              464   
16           worst   87.215274                1584             1807   
17          filthy   87.017926                 664              781   
18      disgusting   86.644040                 529              604   
19           sucio   85.527725                 440              523   

    comment_occurences  
0                  819  
1                  534  
2                 9156  
3                 2277  
4                  785  
5                 3514  
6                 1303  
7                 1768  
8                 7485  
9                 1496  
10                 617  
11                 612  
12                 520  
13                1272  
14                6852  
15                 442  
16                1695  
17                 714  
18                 562  
19                 480  "
12-dot-5,12.5,178.94,128202,"              word  word_score  listing_occurences  word_occurences  \
0        nashville   97.728469                 756            18543   
1   thoughtfulness   97.514625                1167             1265   
2     meticulously   97.464494                 815              859   
3          muffins   97.449855                 808             2074   
4         homemade   97.349605                2603             5818   
5          touches   97.337076               20049            50592   
6       immaculate   97.329794                8235            12056   
7         lovingly   97.312579                 726              787   
8        sanctuary   97.311594                1187             1932   
9       impeccably   97.297692                3268             3769   
10         refused   88.346336                 779              846   
11          smelly   88.317729                 907             1004   
12           dirty   88.217186                7719            12510   
13            olor   88.205411                 810              998   
14          agency   88.145639                 908             1284   
15     cockroaches   87.847000                 742             1000   
16           worst   87.716558                2416             2766   
17      disgusting   87.171521                 828              927   
18          filthy   86.647601                 919             1084   
19           sucio   85.494559                 718              827   

    comment_occurences  
0                15315  
1                 1263  
2                  857  
3                 2055  
4                 5669  
5                50187  
6                12014  
7                  784  
8                 1830  
9                 3765  
10                 794  
11                 973  
12               10292  
13                 923  
14                1066  
15                 871  
16                2596  
17                 877  
18                 973  
19                 765  "
16-dot-0,16.0,235.95,163627,"              word  word_score  listing_occurences  word_occurences  \
0        nashville   97.447451                 879            19848   
1         homemade   97.432561                3257             6948   
2   thoughtfulness   97.425466                1498             1610   
3            baked   97.417452                1911             3713   
4          goodies   97.392317                3125             4764   
5          muffins   97.368323                1092             3220   
6           austin   97.364381                1286            20871   
7       immaculate   97.359598               10360            15217   
8          touches   97.357357               25508            64423   
9           treats   97.321333                4947             7861   
10        horrible   88.404948                2149             2425   
11          smelly   88.309728                1171             1285   
12            mold   88.135354                2085             2970   
13           odeur   87.857520                 935             1137   
14           dirty   87.820194               10022            16490   
15           worst   87.706290                3131             3609   
16         unclean   87.638858                 821              911   
17          filthy   86.569111                1186             1418   
18      disgusting   86.456467                1058             1183   
19           sucio   86.108031                 906             1046   

    comment_occurences  
0                16377  
1                 6783  
2                 1609  
3                 3686  
4                 4747  
5                 3185  
6                17156  
7                15162  
8                63897  
9                 7830  
10                2274  
11                1240  
12                2472  
13                1086  
14               13598  
15                3369  
16                 864  
17                1267  
18                1099  
19                 968  "
25-dot-0,25.0,343.28,256183,"              word  word_score  listing_occurences  word_occurences  \
0        nashville   97.639313                1472            36522   
1          muffins   97.575223                1654             4593   
2            baked   97.488608                3037             5925   
3         homemade   97.459926                5068            11354   
4   thoughtfulness   97.455583                2293             2454   
5       immaculate   97.364677               16241            23843   
6           treats   97.338442                7728            11940   
7          goodies   97.317111                4787             7171   
8          touches   97.306523               39932            99699   
9     meticulously   97.306185                1540             1633   
10            olor   88.533846                1595             1950   
11         refused   88.293909                1566             1691   
12     cockroaches   88.253286                1429             1978   
13           dirty   88.023468               15853            26121   
14           worst   87.747817                4880             5611   
15         unclean   87.721510                1286             1404   
16           odeur   87.686286                1472             1750   
17          filthy   87.156778                1957             2309   
18      disgusting   86.612118                1700             1931   
19           sucio   85.929048                1403             1649   

    comment_occurences  
0                30004  
1                 4540  
2                 5870  
3                11064  
4                 2449  
5                23766  
6                11874  
7                 7139  
8                98858  
9                 1631  
10                1812  
11                1593  
12                1707  
13               21460  
14                5280  
15                1332  
16                1686  
17                2092  
18                1790  
19                1507  "
50-dot-0,50.0,814.63,511667,"              word  word_score  listing_occurences  word_occurences  \
0        nashville   97.634473                2934            70479   
1   thoughtfulness   97.428259                4676             5032   
2            baked   97.417919                6098            11641   
3          muffins   97.397865                3334             8993   
4         homemade   97.371998               10157            22571   
5     meticulously   97.371984                3189             3398   
6          goodies   97.346620                9700            14702   
7       immaculate   97.334588               32509            47826   
8         magazine   97.327997                3197             8808   
9          touches   97.325353               79537           201253   
10          smelly   88.574558                3661             4017   
11            mold   88.420966                6531             9148   
12         refused   88.310875                3263             3577   
13     cockroaches   88.146110                2867             3997   
14           dirty   88.097354               31085            50722   
15           odeur   88.070626                2934             3469   
16           worst   87.720631                9688            11100   
17          filthy   86.965510                3822             4523   
18      disgusting   86.464428                3318             3753   
19           sucio   86.211280                2801             3280   

    comment_occurences  
0                58155  
1                 5025  
2                11541  
3                 8885  
4                21993  
5                 3395  
6                14647  
7                47676  
8                 8545  
9               199619  
10                3882  
11                7759  
12                3336  
13                3440  
14               41874  
15                3319  
16               10446  
17                4077  
18                3492  
19                3023  "
75-dot-0,75.0,1264.74,767324,"              word  word_score  listing_occurences  word_occurences  \
0        nashville   97.578090                4449           105776   
1   thoughtfulness   97.462207                6949             7475   
2          muffins   97.446464                4995            14467   
3            baked   97.382240                8911            17128   
4         homemade   97.378250               15128            33619   
5     meticulously   97.364178                4736             5036   
6          goodies   97.344572               14439            21415   
7       immaculate   97.330539               48829            71583   
8          touches   97.324374              119818           301320   
9           treats   97.290651               23275            36002   
10          smelly   88.547874                5626             6162   
11         refused   88.488868                4834             5300   
12            mold   88.342312                9934            13885   
13     cockroaches   88.270199                4341             6040   
14           dirty   88.049589               46862            76590   
15           odeur   87.812726                4395             5265   
16           worst   87.745317               14726            16868   
17          filthy   86.933579                5731             6790   
18      disgusting   86.413634                4965             5633   
19           sucio   86.223823                4197             4928   

    comment_occurences  
0                87055  
1                 7458  
2                14308  
3                16962  
4                32734  
5                 5028  
6                21326  
7                71361  
8               298852  
9                35791  
10                5969  
11                4945  
12               11806  
13                5167  
14               63299  
15                5047  
16               15828  
17                6115  
18                5245  
19                4512  "
100-dot-0,100.0,1913.56,1022911,"              word  word_score  listing_occurences  word_occurences  \
0        nashville   97.577900                5890           139827   
1   thoughtfulness   97.477612                9198             9916   
2          muffins   97.436128                6587            18451   
3         homemade   97.375596               20143            44658   
4            baked   97.369619               11898            22672   
5     meticulously   97.367673                6282             6688   
6       immaculate   97.332497               64988            95225   
7          goodies   97.326856               19201            28511   
8          touches   97.323736              159408           401646   
9         magazine   97.316073                6385            18211   
10            olor   88.550948                6400             7861   
11         refused   88.532860                6553             7182   
12            mold   88.299849               13258            18516   
13     cockroaches   88.253782                5711             7932   
14           dirty   88.062736               62674           102238   
15           odeur   87.877495                5837             6963   
16           worst   87.712690               19596            22474   
17          filthy   86.903641                7546             8925   
18      disgusting   86.435805                6591             7485   
19           sucio   86.183733                5596             6553   

    comment_occurences  
0               115315  
1                 9894  
2                18242  
3                43492  
4                22459  
5                 6678  
6                94921  
7                28396  
8               398378  
9                17644  
10                7252  
11                6689  
12               15737  
13                6805  
14               84487  
15                6689  
16               21074  
17                8052  
18                6954  
19                6012  "
